order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD126814,ID2766300593,2019-10-11,Nickolson,"[('Alcon 10', 1), ('Toshika 750', 1), ('Candle Inferno', 2), ('Lucent 330S', 2)]",16590,86.59,-37.7996592,144.97019419999995,15,14188.09,Spring,False,2.1086,,True
ORD027531,ID1224821954,2019-07-13,Thompson,"[('pearTV', 1), ('iStream', 2), ('iAssist Line', 1)]",8835,65.4,-37.81206829999999,144.9383555,25,6691.65,Winter,False,0.7692,five stars nice phone i like it,True
ORD241955,ID0060095437,2019-09-22,Bakers,"[('iAssist Line', 1), ('Thunder line', 2), ('pearTV', 2)]",19205,84.25,-37.82454439999999,144.9888975,25,14488.0,Spring,False,1.7126,son loves it.,True
ORD012471,ID2191735059,2019-02-19,Nickolson,"[('Lucent 330S', 1), ('Universe Note', 1)]",4680,77.62,-37.8235021,144.9563142,25,3587.62,Summer,False,1.2858,five stars love this phone.,True
ORD286159,ID6167417928,2019-11-11,Thompson,"[('Alcon 10', 1), ('Olivia x460', 1)]",10175,77.28,-37.8155614,144.95816340000005,10,9234.78,Spring,False,1.0273,very good phone. go for it. this is a nice phone and had no issues till date.,True
ORD048465,ID0579994959,2019-06-08,Thompson,"[('Alcon 10', 1), ('Thunder line', 1), ('Lucent 330S', 1), ('Olivia x460', 1)]",13585,68.83,-37.8027958,144.93642869999996,0,13653.83,Winter,False,1.4438,love it...just like the other 4 i own.,True
ORD270966,ID0145245956,2019-01-08,Nickolson,"[('Lucent 330S', 2), ('iAssist Line', 2), ('Thunder line', 2)]",11270,92.87,-37.81668060000001,144.9604608,15,9672.37,Summer,True,0.8273,excellent phone works great,True
ORD008491,ID0777806540,2019-05-29,Thompson,"[('iAssist Line', 1), ('Thunder line', 1)]",4405,68.77,-37.8031078,144.95557580000005,0,4473.77,Autumn,False,1.3014,"five stars it great, good for elderly people. i like it and good for the people that don't like smartphone.",True
ORD121273,ID0578061043,2019-05-07,Thompson,"[('pearTV', 1), ('Lucent 330S', 2), ('Candle Inferno', 1)]",9200,49.51,-37.8252333,144.9451897,25,6949.51,Autumn,False,1.4079,not from this buyer ever again it was a piece of crap. did not work right at all,False
ORD080651,ID6167417924,2019-11-07,Thompson,"[('pearTV', 2), ('Universe Note', 1), ('Candle Inferno', 1)]",16500,102.84,-37.8158559,144.9571644,0,16602.84,Spring,True,0.9559,"all you need to spend on a phone great phone. not super fast, but lucent mods are cooler than any other phone. screen and camera are are really nice.",True
ORD061380,ID3938479955,2019-08-05,Nickolson,"[('Toshika 750', 1), ('Universe Note', 2), ('Candle Inferno', 1), ('iStream', 1)]",11800,49.33,-37.8201966,144.9650477,0,11849.33,Winter,True,0.4343,"it stop working and i sent it in to be ... it stop working and i sent it in to be fixed they kept it for a month and it still isn't right ,",False
ORD419062,ID3148693056,2019-01-03,Nickolson,"[('Olivia x460', 1), ('Lucent 330S', 2), ('iAssist Line', 1), ('iStream', 2)]",6210,72.08,-37.8118947,144.9724697,10,5661.08,Summer,False,0.7888,okay i guess received phone tons of scratches paint missing on trim but phone works very well,True
ORD409958,ID3215192039,2019-07-30,Thompson,"[('Candle Inferno', 1), ('Toshika 750', 1), ('Universe Note', 1)]",8200,61.52,-37.8082365,144.9473397,25,6211.52,Winter,False,0.4945,"great i bought it for my daughter, it’s great. i hope y’all still have good quality phones because i gotta get my son one in november.",True
ORD434716,ID0634784746,2019-06-11,Thompson,"[('iStream', 1), ('Candle Inferno', 1)]",580,64.69,-37.8145621,144.93822350000005,5,615.69,Winter,False,0.8058,"same specs as regular thunder, but easier to use than getting a separate hub for smart lights, etc.",True
ORD413971,ID2266561260,2019-02-26,Thompson,"[('Lucent 330S', 1), ('iStream', 2)]",1530,94.29,-37.8115403,144.95634850000005,15,1394.79,Summer,True,0.8258,great phone great phone! i love it using it on tmobile and works just fine...,True
ORD428294,ID0060096663,2019-04-09,Nickolson,"[('pearTV', 1), ('Lucent 330S', 2)]",8770,67.57,-37.8167591,144.9822729,15,7522.07,Autumn,False,1.1372,works well good phone for the price.,True
ORD356227,ID0310728380,2019-10-08,Thompson,"[('Alcon 10', 1), ('Lucent 330S', 1)]",10180,84.93,-37.812431200000006,144.9381741,15,8737.93,Spring,True,0.7827,unable to use product i have just purchase a lucent g 1 verison prepaid phone from ingadget that i can not activate and can not return because i had to opened the package to find out that it can not be activated.they will not accept returns that have been opened. there was no indication that this phone could not be activated. why sell it?,False
ORD024346,ID0591430025,2019-08-03,Nickolson,"[('Olivia x460', 1), ('Thunder line', 2)]",5585,74.21,-37.81849370000001,144.9642026,15,4821.46,Winter,True,0.4705,"good quality 👌 everything function well, i love it",True
ORD163580,ID2188421309,2019-02-07,Nickolson,"[('Olivia x460', 2), ('Universe Note', 2), ('Alcon 10', 2), ('Thunder line', 1)]",29430,76.42,-37.81882150000001,144.9609483,5,28034.92,Summer,True,0.7569,"one star so i can not use in venezuela , is not what i expected",False
ORD333722,ID0575552038,2019-09-23,Nickolson,"[('iAssist Line', 2), ('Universe Note', 2), ('Thunder line', 1)]",13530,108.38,-37.82638060000001,144.98559450000005,5,12961.88,Spring,True,1.6557,a very good smartphone the big screen and the quality of the image are great the olivia notes app was better in the note 5,True
ORD228609,ID4283908186,2019-10-27,Nickolson,"[('iStream', 2), ('Toshika 750', 2), ('Thunder line', 2)]",13300,101.16,-37.81177260000001,144.97475,5,12736.16,Spring,True,0.8865,toshika best. volte is support on t-mobile great phone with excellent screen. jesse review is incorrect with regards to volte on t-mobile... volte on t-mobile does work,1
ORD249492,ID4315827378,2019-07-05,Bakers,"[('Candle Inferno', 1), ('Alcon 10', 1), ('Universe Note', 1)]",12830,79.9,-37.8216329,144.9986131,0,12909.9,Winter,False,1.3291,"exactly as advertised bought used. listed as 'good' condition. had one minor nick on the edge, everything else was perfect. happy with the quality.",True
ORD360692,ID2717237172,2019-08-13,Nickolson,"[('Toshika 750', 2), ('iAssist Line', 1), ('Olivia x460', 1)]",12090,73.28,-37.798829100000006,144.96928830000004,0,12163.28,Winter,True,2.2004,four stars excellent device! perfect for the nature of my day-to-day multi-tasking!,True
ORD397993,ID0579973133,2019-12-19,Thompson,"[('Thunder line', 2), ('Lucent 330S', 1), ('Olivia x460', 1), ('pearTV', 2)]",19435,86.26,-37.8117943,144.9460717,15,16606.01,Summer,True,0.1314,great phone! it's a great little phone lot of functions lit of features and easy to use. still need to learn how to use some of its future but all in all great phone.,True
ORD289899,ID1449431574,2019-11-01,Nickolson,"[('Candle Inferno', 1), ('Alcon 10', 2), ('iStream', 2), ('Thunder line', 1)]",20810,85.9,-37.81524870000001,144.9747429,10,18814.9,Spring,True,0.5892,one star having trouble connecting it to my account.,False
ORD364337,ID0664377813,2019-07-23,Nickolson,"[('Thunder line', 1), ('pearTV', 2), ('Candle Inferno', 1), ('Olivia x460', 1)]",16455,73.93,-37.8206984,144.96690780000003,5,15706.18,Winter,True,0.3299,nice phone works good so far but battery does not last that long,True
ORD163763,ID1217532752,2019-11-08,Thompson,"[('pearTV', 2), ('Alcon 10', 1), ('Lucent 330S', 1), ('iAssist Line', 2)]",27250,76.35,-37.8179481,144.9485035,15,23238.85,Spring,False,0.6006,five stars nice...and pink!!! i love it,True
ORD078699,ID1833110288,2019-02-15,Nickolson,"[('Alcon 10', 1), ('Olivia x460', 1)]",10175,72.8,-37.8188564,144.9623989,25,7704.05,Summer,False,0.6296,"great buy i was a little wary buying this phone since it is refurbished. (i've had issues with refurbished electronics in the past.) but despite my doubts, this phone has worked great! ive been using it for 2 and a half months and haven't had any issues with it. i would definetly buy it again!",1
ORD428376,ID0496572534,2019-02-02,Bakers,"[('Thunder line', 2), ('Toshika 750', 2)]",13000,89.08,-37.799773,145.0123966,5,12439.08,Summer,True,1.8905,had to spend 2 hours on line to make it work on line.,False
ORD227142,ID0361771319,2019-02-06,Bakers,"[('Candle Inferno', 1), ('iStream', 2), ('Thunder line', 1)]",2910,80.35,-37.8000013,144.98000109999995,15,2553.85,Summer,False,1.7414,great love the phone is just a bit to fat for me,True
ORD069382,ID1283628983,2019-02-27,Thompson,"[('Universe Note', 2), ('iAssist Line', 2), ('Alcon 10', 1)]",20300,102.11,-37.79979470000001,144.9552864,5,19387.11,Summer,False,1.6055,"shield protection installed great buy. arrived with shield protection in place, thanks.",True
ORD089390,ID3215106480,2019-08-19,Thompson,"[('Universe Note', 2), ('Candle Inferno', 1), ('Olivia x460', 1), ('Alcon 10', 1)]",17505,62.85,-37.80923920000001,144.9503235,15,14942.1,Winter,False,0.4775,all real aasi spect i love everything about it .,True
ORD275360,ID5797758275,2019-07-11,Thompson,"[('Lucent 330S', 2), ('Universe Note', 2)]",9360,50.83,-37.8068159,144.944843,5,8942.83,Winter,False,0.6808,one star the sound stopped working a month after i bought it.,False
ORD471370,ID5002595075,2019-02-18,Thompson,"[('Olivia x460', 1), ('pearTV', 2), ('iStream', 1)]",13995,54.84,-37.81248220000001,144.95334680000005,0,14049.84,Summer,False,0.5525,price ok reception bad went back to old price ok reception bad went back to old phone,False
ORD326715,ID3215192022,2019-06-02,Thompson,"[('Toshika 750', 1), ('iStream', 2)]",4620,63.75,-37.8077749,144.9496593,5,4452.75,Winter,False,0.5909,best phone i ever have. huawei mate 20 lite is the best phone i ever have... so much better than alcon and olivia,True
ORD371310,ID3967629954,2019-01-24,Thompson,"[('Toshika 750', 1), ('Candle Inferno', 2), ('pearTV', 1), ('Thunder line', 2)]",15850,92.72,-37.817031,144.9520465,10,14357.72,Summer,True,0.6534,the camera is better 5han alcon x for taking photos for families the camera is better 5han alcon x for taking photos for families. the touch to get focus function is very useful. super fast! i found free case and free screen protector after 8 opened the sealed brand new box!,True
ORD332903,ID6167440971,2019-10-09,Nickolson,"[('Olivia x460', 1), ('iStream', 2)]",1525,85.68,-37.8152555,144.9637145,5,1534.43,Spring,False,0.6337,hearing and microphone is out the condition of phone was in great shape! whats bad: hearing and microphone doesn't work for what i've paid for the phone everything should had been working superbly. last five digits of the (imei & s/n 98269 -- 6hg04 ) so if you get this phone don't be surprise that it does't function properly.,False
ORD468783,ID0319860976,2019-05-22,Bakers,"[('Lucent 330S', 2), ('iStream', 1)]",2610,80.91,-37.80045689999999,144.99754109999995,10,2429.91,Autumn,True,1.0811,good good,True
ORD432358,ID2885237378,2019-06-28,Nickolson,"[('iAssist Line', 2), ('Candle Inferno', 2)]",5310,68.43,-37.8049874,144.9723977,25,4050.93,Winter,False,1.5353,best decision ever for buying a phone awesome!! beautiful!!,True
ORD406873,ID5797758278,2019-09-18,Thompson,"[('Universe Note', 2), ('iAssist Line', 1), ('Lucent 330S', 1), ('iStream', 1)]",10505,100.49,-37.807004,144.9452761,15,9029.74,Spring,True,0.6505,"great phone item is like new, no issues!",True
ORD241267,ID0575529518,2019-02-11,Nickolson,"[('Olivia x460', 2), ('Universe Note', 1)]",5900,102.88,-37.8237333,144.98682490000004,15,5117.88,Summer,True,1.6231,woohoo! $20 on gold day; done!,True
ORD261109,ID2213857170,2019-02-18,Bakers,"[('Lucent 330S', 1), ('Olivia x460', 2), ('iAssist Line', 1)]",5905,61.53,-37.8064821,144.9829726,5,5671.28,Summer,False,1.147,what is really wrong with my phone i am very disappointed with this phone. no one can hear me.the speakers have a problem. waiste of time and money,False
ORD463892,ID0589402289,2019-07-15,Nickolson,"[('iStream', 1), ('iAssist Line', 1)]",2375,61.82,-37.8130266,144.9710999,10,2199.32,Winter,True,0.6346,"excellent! i was very happy with the phone, the packaging and delivery to convenient digico locker. great experience!",True
ORD266318,ID0488879346,2019-01-24,Thompson,"[('Olivia x460', 1), ('iStream', 1), ('iAssist Line', 2), ('Candle Inferno', 1)]",6255,90.97,-37.8109827,144.9542416,5,6033.22,Summer,True,0.6583,positive! phone works as it should. this is my second phone purchased from this seller with no issues so far. very satisfied.,1
ORD216491,ID0289602864,2019-10-13,Thompson,"[('Lucent 330S', 2), ('pearTV', 2), ('Olivia x460', 1), ('iStream', 1)]",16455,96.47,-37.81131720000001,144.94942360000005,15,14083.22,Spring,True,0.2563,a nice bonus. better than i expected. i ordered a 6s and got a 6s+. it works great,True
